directory,filename,format,size (MB)
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2417677.jpg,.jpg,0.12830829620361328
F:\Identificação Vacas\Cow Database\imagens\37,189.jpeg,.jpeg,0.4530963897705078
F:\Backup\Datasets\Downloads\VG100\VG_100K,2354017.jpg,.jpg,0.1004791259765625
F:\Backup\Datasets\Downloads\VG100\VG_100K,2347574.jpg,.jpg,0.12732982635498047
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2400433.jpg,.jpg,0.1491718292236328
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2382919.jpg,.jpg,0.15211868286132812
F:\Backup\Datasets\Downloads\VG100\VG_100K,2315456.jpg,.jpg,0.10746097564697266
F:\Backup\Datasets\Downloads\VG100\VG_100K,2360545.jpg,.jpg,0.2809886932373047
F:\Backup\Datasets\Downloads\VG100\VG_100K,2351052.jpg,.jpg,0.16620254516601562
F:\Backup\Datasets\Downloads\VG100\VG_100K,2316206.jpg,.jpg,0.10413646697998047
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2397405.jpg,.jpg,0.13111591339111328
F:\Backup\Datasets\Downloads\VG100\VG_100K,2318735.jpg,.jpg,0.12681198120117188
F:\Iniciação Científica\Happy Cow ID\Detecção de Faces\Datasets\train-rotuladas-unsplash,face_1299.jpg,.jpg,2.829190254211426
F:\Identificação Vacas\Cow Database\imagens\77,3249.jpeg,.jpeg,0.4604015350341797
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2417959.jpg,.jpg,0.16557788848876953
F:\Identificação Vacas\Cow Database\imagens\03,1842.jpeg,.jpeg,0.4929227828979492
F:\Backup\Datasets\Downloads\VG100\VG_100K,2326735.jpg,.jpg,0.12769603729248047
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2405092.jpg,.jpg,0.1500406265258789
F:\Identificação Vacas\Cow Database\imagens\26,604.jpeg,.jpeg,0.4519023895263672
F:\Identificação Vacas\Cow Database\imagens\03,1930.jpeg,.jpeg,0.4955720901489258
F:\Identificação Vacas\Cow Database\imagens\03,2730.jpeg,.jpeg,0.4617137908935547
F:\Backup\Datasets\Downloads\VG100\VG_100K,2368886.jpg,.jpg,0.13159465789794922
F:\Backup\Datasets\Downloads\VG100\VG_100K,2363968.jpg,.jpg,0.10657405853271484
F:\Backup\Datasets\Downloads\VG100\VG_100K,2346429.jpg,.jpg,0.11162281036376953
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Dataset\Tamanho original\Numeros\nove,nove - 17 - b.jpg,.jpg,0.13920974731445312
F:\Backup\Datasets\Downloads\VG100\VG_100K,2361803.jpg,.jpg,0.15096664428710938
F:\Identificação Vacas\Cow Database\imagens\51,848.jpeg,.jpeg,0.4802703857421875
F:\Identificação Vacas\Cow Database\imagens\53,2964.jpeg,.jpeg,0.4826211929321289
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2417528.jpg,.jpg,0.13561725616455078
F:\Backup\UFJF\ERE 04\Mecanica das estruturas\P1,Mecanica estruturas até aula 09.pdf,.pdf,2.5958738327026367
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2398438.jpg,.jpg,0.13547229766845703
F:\Identificação Vacas\Cow Database\imagens\56,493.jpeg,.jpeg,0.48276424407958984
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2386230.jpg,.jpg,0.12179851531982422
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2414901.jpg,.jpg,0.1187591552734375
F:\Identificação Vacas\Cow Database\imagens\03,2614.jpeg,.jpeg,0.48967933654785156
F:\Identificação Vacas\Cow Database\imagens\51,708.jpeg,.jpeg,0.48320579528808594
F:\Backup\Datasets\Downloads\VG100\VG_100K,2363944.jpg,.jpg,0.1080617904663086
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2393223.jpg,.jpg,0.1544208526611328
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Dataset\Tamanho original\Numeros\nove,nove - 14 - b.jpg,.jpg,0.1446685791015625
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2389761.jpg,.jpg,0.14914417266845703
F:\Backup\Datasets\Downloads\VG100\VG_100K,2349453.jpg,.jpg,0.1887989044189453
F:\Identificação Vacas\Cow Database\imagens\03,2701.jpeg,.jpeg,0.48303794860839844
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2388109.jpg,.jpg,0.20774364471435547
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Dataset\Tamanho original\Numeros\sete,sete - 10 - b.jpg,.jpg,0.13246536254882812
F:\Backup\Datasets\Downloads\VG100\VG_100K,2328978.jpg,.jpg,0.17601680755615234
F:\Backup\Datasets\Downloads\VG100\VG_100K,2358914.jpg,.jpg,0.13872337341308594
F:\Identificação Vacas\Cow Database\imagens\56,1791.jpeg,.jpeg,0.4635152816772461
F:\Backup\Datasets\Downloads\VG100\VG_100K,713724.jpg,.jpg,0.5699949264526367
F:\Backup\Datasets\Downloads\VG100\VG_100K,2363864.jpg,.jpg,0.10423088073730469
F:\Backup\Datasets\Downloads\VG100\VG_100K,2345957.jpg,.jpg,0.1309823989868164
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2394294.jpg,.jpg,0.13359546661376953
F:\Backup\Datasets\Downloads\VG100\VG_100K,2371613.jpg,.jpg,0.12644386291503906
F:\Backup\Datasets\Downloads\VG100\VG_100K,2371047.jpg,.jpg,0.11822986602783203
F:\Backup\Datasets\Downloads\VG100\VG_100K,2338861.jpg,.jpg,0.16682052612304688
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2412026.jpg,.jpg,0.14140987396240234
F:\Backup\Datasets\Downloads\VG100\VG_100K,2347263.jpg,.jpg,0.15190601348876953
F:\Backup\Datasets\Downloads\VG100\VG_100K,2366226.jpg,.jpg,0.16759204864501953
F:\Identificação Vacas\Cow Database\imagens\45,79.jpeg,.jpeg,0.38172245025634766
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Dataset\Tamanho original\Hospitalar\fisioterapeuta,fisioterapeuta - 18 - b.jpg,.jpg,0.15491008758544922
F:\Backup\Datasets\Downloads\VG100\VG_100K,2316160.jpg,.jpg,0.103271484375
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2405549.jpg,.jpg,0.19053077697753906
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2415787.jpg,.jpg,0.16334915161132812
F:\Backup\Musicas\Selecionadas,AlbumArt_{B5020207-474E-4720-C512-302E5728BC00}_Large.jpg,.jpg,0.1033477783203125
F:\Backup\Datasets\Downloads\VG100\VG_100K,2368670.jpg,.jpg,0.13101482391357422
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2400933.jpg,.jpg,0.20649051666259766
F:\Backup\Datasets\Downloads\VG100\VG_100K,2369740.jpg,.jpg,0.13381385803222656
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2409950.jpg,.jpg,0.15772533416748047
F:\Backup\Datasets\Downloads\VG100\VG_100K,498191.jpg,.jpg,0.34960460662841797
F:\Backup\Datasets\Downloads\VG100\VG_100K,2318104.jpg,.jpg,0.12686634063720703
F:\Identificação Vacas\Cow Database\imagens\77,2531.jpeg,.jpeg,0.446929931640625
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2416331.jpg,.jpg,0.15542984008789062
F:\Backup\Datasets\Downloads\VG100\VG_100K,285948.jpg,.jpg,0.38322925567626953
F:\Backup\Datasets\Downloads\VG100\VG_100K,2356104.jpg,.jpg,0.10980987548828125
F:\Backup\Datasets\Downloads\VG100\VG_100K,2370975.jpg,.jpg,0.21823406219482422
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2414712.jpg,.jpg,0.1100778579711914
